1196;COUPE RONDE A/PIEDS NK;;87.40;113.00;U
1197;COUPE STRIEE 16 CM NK;;42.31;55.00;U
1198;COUPE STRIEE 23 CM NK;;0.00;97.00;U
1199;PLTEAU RECTANGULAIRE 35 CM S/A  D T;;44.30;42.97;U
1200;PLATEAU RECT 30 cm INOX  DORE;;48.36;63.72;U
1201;VERRE A EAU B/P;;2.60;3.90;U
1202;PLATEAU A CAKE INOX 18/10 DORE A/C;;61.49;87.02;U
1203;TAJINE LASAGNE 10 CM;;2.00;4.38;U
1204;TAJINE LASAGNE 15 CM;;3.00;5.50;U
1205;MARMITE 40 CM * 25 CM 31 L;;237.00;416.50;U
1206;MARMITE 32 CM * 15 CM 11.6 L;;162.00;297.50;U
1207;CASSEROLE 24CM * 14 CM 6.2 L;;86.00;157.70;U
1208;CASSEROLE 28 CM * 16 CM 9.5 L;;109.00;190.40;U
1209;POELE  36*7.5 6L;;118.00;214.20;U
1210;P/T CAFE BLANC ISLAND 8203510;;4.04;6.07;U
1211;GOUBLET ISLAND FB 30 CL;;2.33;4.28;U
1212;TABSI GM EN CERAMIQUE;;8.00;13.50;U
1213;COUTEAU DE BOUCHER 18 CM;;0.00;18.00;U
1214;COUTEAU DE BOUCHER 16 CM;;0.00;16.00;U
1215;COUTEAU DE BOUCHER 30 CM;;0.00;33.00;U
1216;SHOP JARRAS (MOJITO);;4.50;6.16;U
1217;GOBELET ISLAND FB 30 CL (COULEUR);;2.34;0.00;U
1218;VERRE SCOTLAND V073040;;1.20;3.60;U
1219;VERRE OSLO 24 CL;;2.49;3.56;U
1220;VERRE OSLO 3;;0.80;2.92;U
1221;PLATEAU AZUR 40 CM INOX18/10;;61.60;0.00;U
1222;REPARATION MABKHARA;;100.00;297.50;U
1223;COFFRET 6 PCS COUPE A ZRIR;;43.00;55.00;U
1224;COFFRET 6 PCS VERRE A JUS 250 ml CLOUDIA;;43.00;55.00;U
1225;COFFRET 6 PCS VERRE A JUS 180 ml CLOUDIA;;43.00;55.00;U
1226;CARAFE A EAU;;30.00;60.00;U
1227;PLATEAU EN PLEXI ARGENT DORE;;41.89;52.36;U
1228;PORTE COUVERTS EN PLEXI ARGENT DORE;;17.02;21.27;U
1229;SOUS ASSIETTE 35 CM HALFA;;13.00;26.66;U
1230;SOUS ASSIETTE 30 CM HALFA;;10.00;19.99;U
1231;VERRE A THE ISTANBUL;;2.33;3.67;U
1232;CARAFE A JUS  TANDRA 1300 ML;;5.00;10.69;U
1233;PLATEAU AZUR 35CM INOX18/10 DORE;;64.96;77.22;U
1234;POIGNEE DE MEUBLE REF F-368 160 MM DOREE;;3.80;0.00;U
1235;VERRE A EAU MENCIA PM;;1.75;3.21;U
1236;GLASS WARE CARAFE A EAU;;30.00;67.83;U
1237;SET DE TABLE;;4.17;10.71;U
1238;VERRE A EAU 29 CL LONG DRINK;;2.00;3.45;U
1239;VERRE A EAU ALLEGRA;;2.17;3.80;U
1240;PLATEAU ANTIDERAPANT 45 CM F;;25.29;34.14;U
